SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы by Лицо and Положение в занятости"
"Counting: Лицо"

"Наименование территориальной единицы","Counting","Положение в занятости",
"Города областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму - иное",0
"г. Краснознаменск","Лицо","Не указавшие положение в занятости",13546
"г. Краснознаменск","Лицо","Работающие по найму",13514
"г. Краснознаменск","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",21
"г. Краснознаменск","Лицо","Работающие не по найму с привлечением наемных работников",161
"г. Краснознаменск","Лицо","Работающие не по найму без привлечения наемных работников",177
"г. Краснознаменск","Лицо","Работающие не по найму - иное",23
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Не указавшие положение в занятости",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие по найму",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму с привлечением наемных работников",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму без привлечения наемных работников",0
"Поселки городского типа областного подчинения Московской области, находящиеся в ведении федеральных органов государственной власти и управления","Лицо","Работающие не по найму - иное",0
"пгт. Молодёжный","Лицо","Не указавшие положение в занятости",983
"пгт. Молодёжный","Лицо","Работающие по найму",1464
"пгт. Молодёжный","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"пгт. Молодёжный","Лицо","Работающие не по найму с привлечением наемных работников",11
"пгт. Молодёжный","Лицо","Работающие не по найму без привлечения наемных работников",15
"пгт. Молодёжный","Лицо","Работающие не по найму - иное",7
"пгт. Восход","Лицо","Не указавшие положение в занятости",699
"пгт. Восход","Лицо","Работающие по найму",1009
"пгт. Восход","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"пгт. Восход","Лицо","Работающие не по найму с привлечением наемных работников",9
"пгт. Восход","Лицо","Работающие не по найму без привлечения наемных работников",0
"пгт. Восход","Лицо","Работающие не по найму - иное",0
"пгт. Приокск","Лицо","Не указавшие положение в занятости",2280
"пгт. Приокск","Лицо","Работающие по найму",3809
"пгт. Приокск","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",0
"пгт. Приокск","Лицо","Работающие не по найму с привлечением наемных работников",49
"пгт. Приокск","Лицо","Работающие не по найму без привлечения наемных работников",42
"пгт. Приокск","Лицо","Работающие не по найму - иное",11
"Total","Лицо","Не указавшие положение в занятости",3358256
"Total","Лицо","Работающие по найму",3029356
"Total","Лицо","Работающие не по найму - не указавшие привлечение наемных работников",7243
"Total","Лицо","Работающие не по найму с привлечением наемных работников",33593
"Total","Лицо","Работающие не по найму без привлечения наемных работников",58443
"Total","Лицо","Работающие не по найму - иное",10533


"INFO","Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
