SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы по Лицо и Отрасль экономики"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Counting";"Отрасль экономики";
"г. Сортавала";"Лицо";"Строительство";228
"г. Сортавала";"Лицо";"Транспорт";311
"г. Сортавала";"Лицо";"Управление";461
"г. Сортавала";"Лицо";"Финансы, кредит, страхование";40
"Всего";"Лицо";"Вид экономической деятельности не указан";97156
"Всего";"Лицо";"Другой";1410
"Всего";"Лицо";"Жилищно-коммунальное хозяйство, бытовое обслуживание населения";4939
"Всего";"Лицо";"Здравоохранение и социальное обеспечение";7037
"Всего";"Лицо";"Культура и искусство";1497
"Всего";"Лицо";"Лесное хозяйство";5085
"Всего";"Лицо";"Наука и научное обслуживание";288
"Всего";"Лицо";"Образование";8506
"Всего";"Лицо";"Общественное питание";1559
"Всего";"Лицо";"Оптовая и розничная торговля";9185
"Всего";"Лицо";"Промышленность";17590
"Всего";"Лицо";"Связь";1756
"Всего";"Лицо";"Сельское хозяйство";2531
"Всего";"Лицо";"Строительство";3875
"Всего";"Лицо";"Транспорт";7385
"Всего";"Лицо";"Управление";6654
"Всего";"Лицо";"Финансы, кредит, страхование";889


"INFO";"Ячейки в этой таблице были случайно регулировать, чтобы избежать выхода конфиденциальной информации."




(c) Copyright Space-Time Research 2013
